iter	Logloss
0	0.6911892288
1	0.6893659565
2	0.6876253003
3	0.6854681389
4	0.683279073
5	0.6813997187
6	0.67988035
7	0.6783250587
8	0.6765333091
9	0.6751303109
10	0.6735638007
11	0.6721805075
12	0.6710401841
13	0.6699922506
14	0.6689188469
15	0.6679286261
16	0.6667344927
17	0.6650705882
18	0.6642408164
19	0.6630794186
20	0.6620571129
21	0.6610999609
22	0.6600668763
23	0.6590510415
24	0.6579604554
25	0.6570685591
26	0.656190919
27	0.6552471752
28	0.6543710824
29	0.6534818535
30	0.6525359318
31	0.6517194046
32	0.6509982295
33	0.6502301729
34	0.6497033075
35	0.6491542659
36	0.648539182
37	0.6476447036
38	0.6471443362
39	0.646552458
40	0.6460334665
41	0.645367372
42	0.6448454092
43	0.6442361201
44	0.6435554376
45	0.6430201567
46	0.6426227754
47	0.6421850994
48	0.6416789962
49	0.6410317554
50	0.640682085
51	0.6401559746
52	0.6397246511
53	0.6393849696
54	0.6388689162
55	0.6384498821
56	0.6380579727
57	0.6376279284
58	0.6372124185
59	0.6367784245
60	0.6364965646
61	0.6361093799
62	0.6357235221
63	0.6354483447
64	0.6350039787
65	0.6346916847
66	0.634361974
67	0.6341368484
68	0.6338624705
69	0.6335160823
70	0.6332957572
71	0.6330858544
72	0.6327523906
73	0.6323943202
74	0.6321819251
75	0.6317691428
76	0.6315403261
77	0.6313534236
78	0.6310663183
79	0.6308226488
80	0.6305652506
81	0.6303598612
82	0.6300454034
83	0.6297298346
84	0.6296285234
85	0.6294426371
86	0.6292633714
87	0.6289501671
88	0.6287414531
89	0.6285618236
90	0.6282956794
91	0.6280770288
92	0.6277740622
93	0.6277125866
94	0.6275447985
95	0.6273024546
96	0.6270060115
97	0.6267914878
98	0.6266043479
99	0.6264475406
100	0.6262400369
101	0.6260712549
102	0.6259645169
103	0.6258532499
104	0.6255983291
105	0.6253604269
106	0.6252658543
107	0.6250575037
108	0.6249104502
109	0.6247367445
110	0.624642847
111	0.6244492958
112	0.624374614
113	0.6241918154
114	0.6241000082
115	0.623978482
116	0.623854044
117	0.6236839467
118	0.623524125
119	0.6234242136
120	0.6232889671
121	0.6231690515
122	0.6230369555
123	0.6229760718
124	0.6227997234
125	0.6226877644
126	0.6226196234
127	0.6225573572
128	0.62236701
129	0.6223164689
130	0.6221750131
131	0.6220623415
132	0.6218978721
133	0.621864045
134	0.621850404
135	0.6216220371
136	0.621540233
137	0.6213504768
138	0.6212541014
139	0.6211471238
140	0.6210422756
141	0.6209726469
142	0.6208581292
143	0.6207921625
144	0.6207160961
145	0.6206015595
146	0.6205323453
147	0.6204529718
148	0.6203309349
149	0.6201328388
150	0.6200996976
151	0.619952692
152	0.6199129393
153	0.6198917894
154	0.6196998333
155	0.6195768846
156	0.6194188996
157	0.6192993016
158	0.61911237
159	0.6190607906
160	0.6190313233
161	0.618916411
162	0.6188201059
163	0.6186154792
164	0.6185869976
165	0.6185027153
166	0.6184444828
167	0.6182930648
168	0.6182244776
169	0.6181630158
170	0.6180684562
171	0.6179386653
172	0.617835351
173	0.6177901599
174	0.6177409327
175	0.6176314004
176	0.6175999649
177	0.6175443543
178	0.6175053266
179	0.6173839259
180	0.6172719088
181	0.617105973
182	0.6170495665
183	0.6169998851
184	0.6169866547
185	0.6169148311
186	0.6168843691
187	0.6168282909
188	0.6167847368
189	0.6166483311
190	0.6166225494
191	0.6165817405
192	0.6165603671
193	0.6164264574
194	0.6163749666
195	0.6162485687
196	0.6162339497
197	0.6161633574
198	0.6160904374
199	0.6159974086
200	0.6159366184
201	0.6158686728
202	0.6158068247
203	0.6157090921
204	0.6155935865
205	0.6155685574
206	0.6155578005
207	0.6155301393
208	0.6154435158
209	0.6153919639
210	0.615360935
211	0.6153111463
212	0.6152874763
213	0.6151712102
214	0.615071369
215	0.6150372947
216	0.6149303515
217	0.6148879062
218	0.6148343882
219	0.6147219339
220	0.6146609544
221	0.6146027343
222	0.6145154628
223	0.6145077969
224	0.6144341561
225	0.614404912
226	0.6143284389
227	0.6142629841
228	0.614158344
229	0.6140311179
230	0.6139462897
231	0.6138323427
232	0.61376955
233	0.6137081772
234	0.6137081772
235	0.6136866626
236	0.6136537487
237	0.6136138881
238	0.6135076946
239	0.6134734696
240	0.6134734093
241	0.613433981
242	0.6133676479
243	0.6132281559
244	0.6131751531
245	0.6131161861
246	0.6130090801
247	0.6129363087
248	0.6128770561
249	0.612813017
250	0.6127516761
251	0.6127259606
252	0.6126556096
253	0.6125739219
254	0.6125238253
255	0.6124466771
256	0.6124281039
257	0.6123770728
258	0.6123019006
259	0.6122644596
260	0.6121695126
261	0.6121171754
262	0.6120480224
263	0.6120147246
264	0.6119578113
265	0.6119103791
266	0.6118764107
267	0.6118410355
268	0.6118414279
269	0.6117464081
270	0.6117013925
271	0.6116452583
272	0.6115072725
273	0.6114701634
274	0.6113996113
60968847
482649
